TITLE,LOCATION,PRICE,LAND AREA,BUILDUP AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES
"House for sale near Krishna Mandir, Imadol","Imadol, Lalitpur",Rs. 2.3 Cr ,3.0 aana,,12 Feet,East,2.5,4,2,2079 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Marbel', 'Earthquake Resistant']"
Residential house on sale in Sanagaun,"Sanagaun, Lalitpur",Rs. 2.2 Cr ,3.1 aana,,16 Feet,South,2.5,4,5,2070 B.S,,"['Marbel', 'Earthquake Resistant', 'Bathroom', 'Drainage', 'Parking']"
"Attractive house for sale in Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.5 Cr ,3.3 aana,,13 Feet,South-West,2.5,4,4,2072 B.S,,"['Drainage', 'Bathroom', 'Marbel', 'Earthquake Resistant', 'Parking']"
"House on sale at Cozy Homes, Imadol","Imadol, Lalitpur",Rs. 3.5 Cr ,4.0 aana,,13 Feet,North,3.5,6,3,2074 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Earthquake Resistant', 'Marbel']"
"House on sale in Cozy Homes, Imadol","Imadol, Lalitpur",Rs. 3.5 Cr ,4.0 aana,,13 Feet,North,3.5,7,4,2080 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drainage', 'Parking']"
"Beautiful house for sale in Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.2 Cr ,3.0 aana,,20 Feet,West,2.5,4,4,2078 B.S,,"['Marbel', 'Earthquake Resistant', 'Bathroom', 'Drainage', 'Parking']"
"House on sale at Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.3 Cr ,3.1 aana,,10 Feet,South-East,2.5,5,5,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drainage', 'Parking']"
"House for sale at Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.85 Cr ,3.3 aana,,13 Feet,East,2.5,4,2,2078 B.S,,"['Marbel', 'Earthquake Resistant', 'Bathroom', 'Drainage', 'Parking']"
"House for sale in Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.6 Cr ,3.0 aana,,13 Feet,West,2.5,4,4,2078 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Marbel', 'Earthquake Resistant']"
"House on sale at Balkhu, Kathmandu","Balkhu, Kathmandu",Rs. 4.25 Cr ,6.0 aana,3000 Sq. Feet,15 Feet,South-West,3,8,3,2078 B.S,,"['Drainage', 'Parking', 'Drinking Water', 'Power Backup', 'Power Backup', 'Bathroom']"
Residential house on sale at Khumaltar,"Khumaltar, Lalitpur",Rs. 2.4 Cr ,5.1 aana,,12 Feet,East,2.5,5,5,2076 B.S,,"['Earthquake Resistant', 'AirCon', 'Bed Room', 'Garden', 'Drainage', 'Bathroom']"
Commercial building for rent in Dhungeadda,"Dhungeadda, Kathmandu",Rs. 5 Lac/m,8.0 aana,9000 Sq. Feet,14 Feet,North,5,8,6,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Luxurious bungalow for rent at Golfutar,"Golfutar, Kathmandu",Rs. 5.5 Lac/m,50.0 aana,,12-20 Feet,,2.5,5,5,2075 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Garden', 'Swimming Pool', 'Marbel']"
Beautiful house on sale at Balkhu,"Balkhu, Kathmandu",Rs. 2.23 Cr ,3.0 aana,1455 Sq. Feet,16 Feet,North,2.5,3,3,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Dining Room', 'Modular Kitchen', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"House on sale in Thulo Bharyang, Kathmandu","Thulobharyang, Kathmandu",Rs. 10 Cr ,7.7 aana,,13 Feet,North,2.5,5,3,2076 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Garden']"
Attractive bungalow house for sale in Mandikhatar,"Mandikhatar, Kathmandu",Rs. 2.75 Cr ,4.0 aana,,13 Feet,East,2.5,6,6,2071 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"Commercial building for sale in Imadol, Lalitpur","Imadol, Lalitpur",Rs. 12.5 Cr ,14.0 aana,,40 Feet,South,3,,,2078 B.S,,"['Power Backup', 'Drinking Water', 'Drainage', 'Bathroom']"
"Beautiful house for sale in Kapan, Kharibot","Kharibot, Kathmandu",Rs. 2.88 Cr ,4.1 aana,,12-18 Feet,South,2.5,,,2074 B.S,,"['Power Backup', 'Drinking Water', 'Drainage']"
Residential house for sale at Ghattekulo,"Ghattekulo, Kathmandu",Rs. 2.55 Cr ,4.1 aana,,5-8 Feet,North,2,7,4,2077 B.S,,"['Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Bungalow for rent at Bishalnagar,"Bishalnagar, Kathmandu",Rs. 5 Lac/m,25.0 aana,,14-20 Feet,South,2.5,6,,2077 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Garden']"
Brand new bungalow for rent in Golfutar,"Golfutar, Kathmandu",Rs. 3 Lac/m,32.0 aana,,12-18 Feet,,2.5,6,6,2078 B.S,,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking']"
House for sale in land price at Maitidevi,"Maitidevi, Kathmandu",Rs. 80 Lac/aana,10.0 aana,,14 Feet,East,3.5,,,,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup']"
"Villa for rent in Maharajgunj, Chakrapath","Maharajgunj, Kathmandu",Rs. 2.5 Cr,4.0 aana,,18 Feet,,2.5,4,5,2064 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel', 'Garden', 'Parquet']"
Commercial house on sale in Pespicola,"Pepsicola, Kathmandu",Rs. 5 Cr ,4.2 aana,,36 Feet,East,3.5,7,4,2074 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage']"
Semi furnished house for rent in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 2.1 Lac/m,,,12-18 Feet,North-East,2,5,5,2075 B.S,,"['Garden', 'Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel', 'Parquet']"
Furnished house for rent in Jhamsikhel,"Jhamsikhel, Lalitpur",Rs. 1.9 Lac/m,8.0 aana,,12-18 Feet,South,2.5,4,4,2078 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel', 'Parquet']"
"Semi furnished house for rent in Bhatbhateni, Naxal","Naxal, Kathmandu",Rs. 1.8 Lac/m,4.0 aana,,14-20 Feet,,2,4,4,2074 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Parquet', 'Marbel']"
House on sale in Pasikot Height,"Pasikot, Kathmandu",Rs. 3 Cr ,4.3 aana,2400 Sq. Feet,20 Feet,South,2.5,5,4,2078 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Power Backup', 'Marbel', 'Earthquake Resistant']"
"House on sale at Goldhunga, Kathmandu","Goldhunga, Kathmandu",Rs. 2.99 Cr ,4.5 aana,,10 Feet,West,3.5,8,4,2074 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Power Backup']"
House for sale in land price at Old Baneshwor,"Baneshwor, Kathmandu",Rs. 70 Lac/aana,8.2 aana,,20 Feet,North,2.5,6,3,2080 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage']"
"Commercial house for sale in Ranibari, Samakhusi","Samakhushi chowk, Kathmandu",Rs. 4.5 Cr ,5.0 aana,,22 Feet,South-East,3.5,21,5,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup']"
"Beautiful house on sale in Kaushaltar, Bhaktpur","Kaushaltar, Bhaktapur",Rs. 1 Cr ,18.0 aana,,13 Feet,South,2.5,5,7,2078 B.S,,"['Power Backup', 'Drinking Water', 'Drainage', 'Bathroom', 'Parking']"
Residential house on urgent sale in Goldhunga,"Goldhunga, Kathmandu",Rs. 2.99 Cr ,3 aana,1711.475 Sq. Feet,10 Feet,West,3.5,8,4,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Gym', 'Fridge', 'Sofa', 'Dining Room', 'Bed Room', 'Garden', 'Modular Kitchen', 'Drinking Water', 'Bathroom']"
"House on sale in Goldhunga, Purano Gujeswori","Guheshwori, Kathmandu",Rs. 3.5 Cr ,4 aana,,26 Feet,East,4.5,18,4,2078 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Power Backup']"
Luxurious bungalow for rent in Baluwatar,"Baluwatar, Kathmandu",Rs. 5 Lac/m,17.0 aana,,15 Feet,South,2.5,7,5,2078 B.S,,"['Marbel', 'Parquet', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Garden', 'Power Backup']"
Commercial house for rent at Baluwatar,"Baluwatar, Kathmandu",Rs. 2.5 Lac/m,28.0 aana,,13 Feet,West,2.5,5,4,2076 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Garden']"
"Semi furnished bungalow for rent in CG Hills, Hattigauda","Hattigaunda, Kathmandu",Rs. 1.3 Lac/m,5.0 aana,,20 Feet,North,2,4,2,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Swimming Pool', 'Power Backup', 'Internet', 'Parquet', 'Washing Machine', 'AirCon']"
"Furnished bungalow for rent in CG Hills, Hattigauda","Hattigaunda, Kathmandu",Rs. 1.3 Lac/m,4.0 aana,,14-20 Feet,South-East,2.5,4,4,2075 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Fridge', 'Power Backup', 'Internet', 'Garden', 'Parquet', 'Marbel', 'AirCon']"
"House on sale Ganeshchowk, Hattigauda","Hattigaunda, Kathmandu",Price on call,,,13 Feet,East,2.5,5,4,2076 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Semi furnished bungalow for sale at Nakkhudole,"Nakhudole, Lalitpur",Rs. 4 Cr ,4.0 aana,,14-20 Feet,East,2.5,5,5,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drainage', 'Parking', 'Internet']"
"House on sale near Karuna Hospital, Chunikhel","Chunikhel, Kathmandu",Rs. 1.33 Cr ,3.0 aana,,12 Feet,South,1,2,1,2071 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Earthquake Resistant']"
"House on sale near Police Station, Imadol","Imadol, Lalitpur",Rs. 1.9 Cr ,2.2 aana,1572.65 Sq. Feet,10 Feet,South,2.5,4,2,2078 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Earthquake Resistant']"
 Beautiful house for sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Price on call,4.2 aana,,20 Feet,West,2.5,3,4,2074 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"House on rent in Vinayak Tole, Dhapasi","Dhapasi, Kathmandu","Rs. 80,000 /m",7.0 aana,,26 Feet,East,3,8,4,2077 B.S,,"['Earthquake Resistant', 'Marbel', 'Washing Machine', 'Water Purifier', 'MiCrowave', 'Bed Room', 'Garden', 'Playground', 'Drinking Water', 'Internet', 'Bathroom']"
"House for Sale near Khushi Khushi Resort, Matatirtha","Matatirtha, Kathmandu",Rs. 4 Cr ,13.3 aana,1700 Sq. Feet,16 Feet,North-East,3,6,4,2077 B.S,,"['Fridge', 'Sofa', 'CC Camera', 'Power Backup', 'Dining Room', 'MiCrowave', 'Garden', 'Bed Room', 'Washing Machine', 'Modular Kitchen', 'Playground']"
"House on sale in Dhunchepakha, Thimi","Dhunchepakha, Bhaktapur",Rs. 7 Cr ,15.0 aana,2935 Sq. Feet,36 Feet,South,2.5,7,2,2078 B.S,,"['Marbel', 'Power Backup', 'Dining Room', 'Drainage', 'Drinking Water', 'Playground', 'Parking', 'Power Backup', 'Bathroom', 'Modular Kitchen']"
Residential house for sale in Kapan Height,"Kapan, Kathmandu",Rs. 3.3 Cr ,3.3 aana,,22 Feet,South,2.5,6,32,2075 B.S,,"['Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"Commercial house on sale behind Patan Museum, Patan","Patan, Lalitpur",Rs. 1.8 Cr ,2.0 aana,,12 Feet,South,4,3,4,2064 B.S,,"['Bathroom', 'Parking']"
"House for sale at Dhapasi, Grande","Dhapasi, Kathmandu",Rs. 3.25 Cr ,6.0 aana,,10 Feet,East,2.5,5,1,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Power Backup', 'Parking']"
"Full furnished house on rent in Imadol, Lalitpur","Lalitpur, Lalitpur","Rs. 90,000 /m",4.0 aana,,40 Feet,South-East,2.5,5,5,,,"['Power Backup', 'Drainage', 'Bathroom', 'Drinking Water']"
Beautiful house on sale in Budhanilkantha,"Budhanilkantha, Kathmandu",Rs. 4.5 Cr ,5.2 aana,,15 Feet,East,2.5,6,5,2055 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
Semi commercial house for sale at Hattigauda,"Hattigaunda, Kathmandu",Rs. 3.75 Cr ,6.0 aana,840 Sq. Feet,14  Feet,North-East,2.5,7,5,2075 B.S,,"['Earthquake Resistant', 'Marbel', 'Fridge', 'Sofa', 'Power Backup', 'Dining Room', 'MiCrowave', 'Washing Machine', 'Bed Room', 'Garden', 'Modular Kitchen']"
Commercial building for sale in Imadol,"Imadol, Lalitpur",Rs. 12.5 Cr ,15.3 aana,,22 Feet,North,4,6,4,2061 B.S,,"['CC Camera', 'Power Backup', 'Marbel', 'Gym', 'Bathroom', 'Drainage', 'Garden', 'Drinking Water', 'Parking', 'Power Backup']"
Residential bungalow for rent in Hattigauda,"Hattigaunda, Kathmandu",Rs. 1.5 Lac/m,11.0 aana,,18 Feet,,2,5,5,2075 B.S,,"['Power Backup', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
"Beautiful house on sale in Baluwakhani, Kapan","Baluwakhani, Kathmandu",Rs. 3.45 Cr ,5.1 aana,,13 Feet,East,2.5,7,5,2078 B.S,,"['Power Backup', 'Bathroom', 'Drainage', 'Parking', 'Drinking Water']"
Attractive house for rent in Baluwatar,"Baluwatar, Kathmandu",Rs. 3 Lac/m,17.0 aana,,12-18 Feet,East,2,10,3,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage', 'Power Backup', 'Garden']"
"Brand new house on sale in kapan, Budhanilkantha","Kapan, Kathmandu",Price on call,5.0 aana,,13 Feet,South,2.5,7,4,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Attractive house on sale in Dhapasi Height,"Dhapasi, Kathmandu",Price on call,5.0 aana,,13 Feet,South-East,2.5,7,4,2074 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage']"
"House on sale in Jambu Danda, Jorpati","Jorpati, Kathmandu",Rs. 1.43 Cr ,2.2 aana,,12 Feet,South,2.5,3,3,2062 B.S,,"['Marbel', 'Internet', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"House on sale at Uttardhoka, Gairidhara","Uttardhoka, Kathmandu",Rs. 6.5 Cr ,6.0 aana,,12-20 Feet,South-West,5,9,9,2078 B.S,,"['Power Backup', 'Parking', 'Modular Kitchen', 'Drinking Water', 'Bathroom']"
"House for rent in Radhakrishna Chowk, Gulariya, Bardiya","Radhakrishna Chowk, Bardiya","Rs. 70,000 /m",0.14 kattha,1755 Sq. Feet,26 Feet,West,2,4,2,,,"['Earthquake Resistant', 'Marbel', 'Parking', 'Bathroom', 'Drinking Water', 'Drainage', 'AirCon', 'CC Camera']"
House on sale in land price at New Buspark,"New Buspark, Kathmandu",Rs. 8.5 Cr ,9.0 aana,,13 Feet,East,3.5,6,5,2078 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel']"
Residential house on sale at Mitrapark,"Mitrapark, Kathmandu",Rs. 9.5 Cr ,10.0 aana,,13 Feet,East,3.5,7,4,2078 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Garden']"
House on sale at Bohoratar,"Boharatar, Kathmandu",Rs. 2.3 Cr ,3.1 aana,,13 Feet,East,2.5,4,4,2078 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Marbel']"
Bungalow house on sale at Chappal Karkhana,"Chappal karkhana, Kathmandu",Rs. 7.5 Cr ,8.3 aana,,13 Feet,South,2.5,5,6,2078 B.S,,"['Parquet', 'Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Garden', 'Parking', 'Power Backup']"
Residential house on sale at Sitapaila,"Sitapaila, Kathmandu",Rs. 2.75 Cr ,4.0 aana,2800 Sq. Feet,13 Feet,East,2.5,3,3,2074 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"House on sale in land price at Swoyambhu, Thulobharyang","Thulobharyang, Kathmandu",Rs. 60 Lac/aana,18.0 aana,,12-18 Feet,North,2.5,5,5,2078 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Garden', 'Marbel']"
"Semi furnished house on sale in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Rs. 5 Cr ,6.0 aana,,13 Feet,South,2.5,4,5,2074 B.S,,"['Power Backup', 'Drinking Water', 'Drainage', 'Bathroom', 'Parking', 'Garden']"
"House on sale in Ganeshbasti, Maharajgunj","Maharajgunj, Kathmandu",Rs. 12 Cr ,12.0 aana,6000 Sq. Feet,10 Feet,South-East,3.5,5,4,2080 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Parking', 'Marbel']"
"Residential house for sale at Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.6 Cr ,3.2 aana,,13 Feet,East,2.5,4,4,2078 B.S,,"['Marbel', 'Bathroom', 'Drainage', 'Earthquake Resistant', 'Parking']"
"Residential house on sale in Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 1.75 Cr ,2.2 aana,,13 Feet,North,2.5,6,4,2078 B.S,,"['Marbel', 'Drainage', 'Bathroom', 'Parking']"
"Residential house for sale in Imadol, Sheetal Height","Imadol, Lalitpur",Rs. 2.35 Cr ,3.0 aana,,13 Feet,East,2.5,5,5,2078 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Marbel', 'Earthquake Resistant']"
"House on sale in Kharibot, Dhapasi","Dhapasi, Kathmandu",Rs. 2.95 Cr ,4.0 aana,3553 Sq. Feet,13 Feet,South,2.5,3,3,2078 B.S,,"['Earthquake Resistant', 'Parquet', 'Fridge', 'Sofa', 'CC Camera', 'Power Backup', 'Dining Room', 'Modular Kitchen', 'Parking', 'Drainage', 'Bathroom']"
"Duplex house for sale in Magargaun, Bhaisepati","Bhaisepati, Lalitpur",Rs. 3.2 Cr ,3.3 aana,2200 Sq. Feet,13/20 Feet,North-East,2.5,4,4,2078 B.S,,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Bathroom', 'Parking', 'Drinking Water', 'Internet']"
"Beautiful Mansion for sale in Wasik, Narayanthan ","Narayanthan , Kathmandu",Rs. 9.25 Cr ,17.0 aana,4500 Sq. Feet,17 Feet,South,3.5,7,5,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'CC Camera', 'Modular Kitchen', 'Parking', 'Internet', 'Bathroom', 'Power Backup', 'Playground']"
New bungalow for sale in Dholahiti Heights,"Dholahiti, Lalitpur",Rs. 4 Cr ,4.0 aana,2500 Sq. Feet,27 Feet,South-West,2.5,4,5,2076 B.S,,"['Earthquake Resistant', 'Marbel', 'Bathroom', 'Drainage', 'Parking', 'Internet']"
Newly built furnished house for sale in Jyotinagar,"Jyotinagar, Kathmandu",Rs. 3.5 Cr ,4.0 aana,,14 Feet,South-East,2.5,7,4,2075 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Bathroom', 'Drainage', 'Drinking Water']"
"Residential house for sale in Sheetal Height, Imadol","Imadol, Lalitpur",Rs. 2.25 Cr ,3.1 aana,,13 Feet,North,2.5,6,4,2076 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Marbel', 'Earthquake Resistant']"
"Residential house for sale at Sheetal Height, Imadol","Imadol, Lalitpur",Rs. 2.1 Cr ,2.3 aana,,13 Feet,North,2.5,4,4,2076 B.S,,"['Parking', 'Marbel', 'Bathroom', 'Drainage']"
"House for sale at Ochu Height, Imadol","Ochu Height, Lalitpur",Rs. 2.25 Cr ,3.0 aana,,13 Feet,West,2.5,4,5,2071 B.S,,"['Drainage', 'Marbel', 'Bathroom', 'Earthquake Resistant', 'Parking']"
"Residential house on sale at Sheetal Height, Imadol","Imadol, Lalitpur",Rs. 2.55 Cr ,3.3 aana,,20 Feet,West,2.5,6,4,2078 B.S,,"['Drainage', 'Bathroom', 'Parking', 'Marbel', 'Earthquake Resistant']"
"Attractive house on sale at Sundarbasti, Bhangal","Bhangal , Kathmandu",Rs. 2.7 Cr ,4.0 aana,,18 Feet,South-East,2.5,6,3,2074 B.S,,"['Drainage', 'Bathroom', 'Drinking Water', 'Power Backup', 'Parking', 'Power Backup']"
"Duplex house for sale in Padma Colony, Sitapaila","Sitapaila, Kathmandu",Rs. 2.95 Cr ,5.0 aana,2750 Sq. Feet,13 Feet,North,2.5,4,5,2077 B.S,,"['Parking', 'Drainage', 'Bathroom', 'Drinking Water', 'Marbel', 'Earthquake Resistant']"
Beautiful bungalow for rent in Hattigauda,"Hattigaunda, Kathmandu",Rs. 2.15 Lac/m,9.0 aana,,12-18 Feet,South-East,2,4,4,2077 B.S,,"['Power Backup', 'Drinking Water', 'Drainage', 'Parking', 'Bathroom']"
Beautiful house on sale at Dhapakhel,"Dhapakhel, Lalitpur",Price on call,5.0 aana,,12-18 Feet,West,2.5,6,4,2078 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking']"
"Bungalow for sale in Padma Colony, Sitapaila","Sitapaila, Kathmandu",Rs. 3.75 Cr ,7.0 aana,2200 Sq. Feet,13 Feet,South,2.5,4,,2078 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Earthquake Resistant']"
Beautiful residential house for sale in Goldhunga,"Goldhunga, Kathmandu",Rs. 2.05 Cr ,3.0 aana,,16 Feet,East,2.5,4,3,2076 B.S,,"['Bathroom', 'Power Backup', 'Drainage', 'Drinking Water', 'Parking', 'Marbel']"
"House on sale at Mandikhatar,Ekatabasti","Mandikhatar, Kathmandu",Rs. 2.5 Cr ,3.0 aana,,13 Feet,South-East,2.5,10,5,2076 B.S,,"['Power Backup', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Power Backup']"
"Bungalow for rent in Awas Marg, Bhaisepati","Bhaisepati, Lalitpur",Rs. 2.4 Lac/m,12.0 aana,,12-18 Feet,West,2.5,3,4,2062 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking', 'Fridge', 'Internet', 'Garden', 'Power Backup', 'Parquet']"
Luxurious bungalow for rent at Chundevi,"Chundevi, Kathmandu",Rs. 3 Lac/m,1.8 aana,,24 Feet,South-East,2,4,4,2075 B.S,,"['Marbel', 'Parquet', 'Bathroom', 'Drinking Water', 'Drainage', 'Garden', 'Parking', 'AirCon', 'Power Backup', 'Internet']"
Attractive house on sale in Bhaisepati,"Bhaisepati, Lalitpur",Rs. 3.8 Cr ,4.1 aana,,12 Feet,North-East,2.5,4,1,2078 B.S,,"['Drinking Water', 'Power Backup', 'Bathroom', 'Drainage', 'Parking']"
Attractive house on sale at Sitapaila,"Sitapaila, Kathmandu",Rs. 4.7 Cr ,6.2 aana,,20 Feet,West,2.5,5,3,2074 B.S,,"['Bathroom', 'Drinking Water', 'Internet', 'Power Backup', 'Drainage', 'Parking']"
Duplex house on sale at Imadol ,"Imadol, Lalitpur",Rs. 3.4 Cr ,4.0 aana,,13 Feet,South,2.5,4,2,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Semi commercial bungalow for rent in Sanepa,"Sanepa, Lalitpur",Rs. 1.8 Lac/m,12.0 aana,,12-20 Feet,West,2.5,6,4,2074 B.S,,"['Marbel', 'Bathroom', 'Drinking Water', 'Drainage', 'Parking']"
"House on sale near Medical college, Attarkhel","Attarkhel, Kathmandu",Rs. 3 Cr ,3.2 aana,,13 Feet,East,3,8,3,2062 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
Furnished bungalow for rent in Bakhundole,"Bakhundole, Lalitpur",Rs. 1.6 Lac/m,12.0 aana,,12-18 Feet,South-East,2.5,5,4,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Marbel', 'Garden', 'Parking']"
"Commercial house for rent at Jhamsikhel, Lalitpur","Jhamsikhel, Lalitpur",Rs. 2.5 Lac/m,15.0 aana,,14-20 Feet,,3,,3,2055 B.S,,"['Bathroom', 'Drainage', 'Parking', 'Marbel']"
"Attractive house on sale in Bhaisepati, Lalitpur","Bhaisepati, Lalitpur",Price on call,4.2 aana,,20 Feet,South-East,2.5,6,4,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Power Backup', 'Parking']"
Attractive house on sale in Syuchatar,"Syuchatar, Kathmandu",Rs. 2.2 Cr ,3.2 aana,,14 Feet,North,2,4,2,2078 B.S,,"['Drinking Water', 'Power Backup', 'Parking', 'Drainage', 'Bathroom', 'Power Backup']"
"Full furnished house on rent in Jhamsikhel, Lalitpur","Jhamsikhel, Lalitpur",Rs. 1.25 Lac/m,10.0 aana,,12-18 Feet,North,2,6,3,2078 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Power Backup', 'Garden']"
Newly built house for sale in Kapan,"Kapan, Kathmandu",Rs. 2.25 Cr ,3.2 aana,,13 Feet,East,2.5,,,2076 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup']"
"Bungalow for rent in Panipokhari Heights Homes, Panipokhari","Panipokhari, Kathmandu",Rs. 1.75 Lac/m,4.0 aana,,20 Feet,South-East,2.5,4,6,2062 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Parquet', 'AirCon', 'Power Backup', 'Internet', 'Washing Machine']"
Full furnished residential house on rent in Sanepa,"Sanepa, Lalitpur",Rs. 1.75 Lac/m,8.0 aana,2500 Sq. Feet,12 Feet,South,2.5,5,4,2075 B.S,,"['Marbel', 'Parquet', 'Earthquake Resistant', 'Fridge', 'Sofa', 'Power Backup', 'Dining Room', 'MiCrowave', 'Water Purifier', 'Washing Machine', 'Bed Room']"
Full furnished bungalow on rent in Bhaisepati,"Bhaisepati, Lalitpur",Rs. 4 Lac/m,,,40 Feet,East,2.5,5,5,2062 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Power Backup', 'Parking']"
"Bungalow for sale at Grande Villa, Tokha","Grande Villa, Kathmandu",Rs. 6 Cr ,11.0 aana,,14-20 Feet,North,2.5,3,3,2066 B.S,,"['Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Power Backup', 'Internet', 'Parquet', 'AirCon']"
"House for sale in Miteri Marg, Baneshwor","Baneshwor, Kathmandu",Rs. 4.99 Cr ,4.0 aana,,12-16 Feet,South-East,3.5,,,2071 B.S,,"['Parquet', 'Marbel', 'Drinking Water', 'Bathroom', 'Drainage', 'Parking', 'Modular Kitchen', 'AirCon']"
Residential house on sale in Budhanilkantha, undefined,Price on call,4.2 aana,,20 Feet,West,2.5,3,4,2062 B.S,,"['Parking', 'Drainage', 'Power Backup', 'Bathroom', 'Drinking Water', 'Garden']"
